id,title,genres,vote_average,Plot
746524,Blood,Thriller-Horror,5.9,jess a newli separ mother and nurs move into her old famili farmhous with tyler her teenag daughter and owen her eight-year-old son . one night the famili dog sens someth in the wood and run off to find it . he return a coupl of day later and attack owen savag bite him befor jess is abl to interven . owen is rush to the hospit . hi condit worsen and no one can figur out whi ... until jess discov a disturb cure ... countri house-forest-hospital-dog-divorcee-sick child-child of divorce-divorc couple-hollow tree-drink blood-recov drug addict thriller-horror blood
858017,I Saw the TV Glow,Drama-Horror,6.007,teenag owen is just tri to make it through life in the suburb when hi classmat introduc him to a mysteri late-night tv show — a vision of a supernatur world beneath their own . in the pale glow of the televis owen ’ s view of realiti begin to crack . high school-friendship-loss of sens of reality-sexuality-identity-obsession-surrealism-asthma-sleepover-nostalgia-suburbia-com of age-loneliness-arcade-vhs-tv show in film-guilt-lgbt-lgbt teen-planetarium-run away-gend dysphoria-existentialism-1990s-subconscious-2000s-2010s-movi theater-independ film-bodi horror-teenager-limin space-nonbinari director-depressing-gay drama-horror i saw the tv glow
807172,The Exorcist: Believer,Horror,5.494,when hi daughter angela and her friend katherin show sign of demon possess it unleash a chain of event that forc singl father victor field to confront the nadir of evil . terrifi and desper he seek out chri macneil the onli person aliv who 's wit anyth like it befor . exorcism-faith-sequel-possession-disappearance-death of mother-exorcist-reboot-demon possession-fath daughter relationship-legaci charact horror the exorcist : believ
967847,Ghostbusters: Frozen Empire,Fantasy-Adventure-Comedy,6.7,the spengler famili return to where it all start – the icon new york citi firehous – to team up with the origin ghostbust who 've develop a top-secret research lab to take bust ghost to the next level . but when the discoveri of an ancient artifact unleash an evil forc ghostbust new and old must join forc to protect their home and save the world from a second ice age . new york city-supernatural-ghostbuster-sequel-teenag girl-ghost-duringcreditsstinger-research laboratory-evil force-anci artifact fantasy-adventure-comedi ghostbust : frozen empir
287003,Avatar: Scene Deconstruction,Documentary,7.8,the deconstruct of the avatar scene and set behind the scene documentari avatar : scene deconstruct
283995,Guardians of the Galaxy Vol. 2,Adventure-Action-Science Fiction,7.623,the guardian must fight to keep their newfound famili togeth as they unravel the mysteri of peter quill 's true parentag . sequel-superhero-bas on comic-misfit-space-aftercreditsstinger-duringcreditsstinger-marvel cinemat univers ( mcu ) adventure-action-sci fiction guardian of the galaxi vol . 2
800815,The Pale Blue Eye,Mystery-Crime-Horror,7.005,west point new york 1830 . when a cadet at the burgeon militari academi is found hang with hi heart cut out the top brass summon former new york citi constabl augustu landor to investig . while attempt to solv thi grisli mysteri the reluct detect engag the help of one of the cadet : a strang but brilliant young fellow by the name of edgar allan poe detective-bas on novel or book-winter-investigation-histor figure-murder-goth horror-occult-west point-book-1830 mystery-crime-horror the pale blue eye
466420,Killers of the Flower Moon,Crime-History-Drama,7.525,when oil is discov in 1920 oklahoma under osag nation land the osag peopl are murder one by one—until the fbi step in to unravel the mysteri . husband wife relationship-bas on novel or book-war veteran-fbi-greed-oklahoma-manipulation-n american-bas on true story-murder-racism-seri of murders-genocide-period drama-courtroom-guilt-tru crime-oil industry-death of sister-catholicism-uncl nephew relationship-cathol guilt-hopeless-1920s-osag indian-gullibility-poisoning-diabetes-anxious-revisionist western-meta-mal protagonist-western-shot on film-gloomi crime-history-drama killer of the flower moon
11,Star Wars,Adventure-Action-Science Fiction,8.2,princess leia is captur and held hostag by the evil imperi forc in their effort to take over the galact empir . venturesom luke skywalk and dash captain han solo team togeth with the loveabl robot duo r2-d2 and c-3po to rescu the beauti princess and restor peac and justic in the empir . empire-galaxy-rebellion-android-hermit-smuggl ( contraband ) -freedom-rebel-rescu mission-space-planet-desert-sup power-oppression-spac opera-wizard-totalitarianism-star war univers adventure-action-sci fiction star war
700391,65,Science Fiction-Adventure-Thriller,6.229,65 million year ago the onli 2 survivor of a spaceship from somari that crash-land on earth must fend off dinosaur and reach the escap vessel in time befor an immin asteroid strike threaten to destroy the planet . monster-asteroid-cave-gi monster-dinosaur-quicksand-crash landing-alien race-sick child-prehistor adventure-prehistor times-shipwrecked-prehistory-man vs nature-fath daughter relationship-alien spaceship scienc fiction-adventure-thril 65
661374,Glass Onion: A Knives Out Mystery,Comedy-Crime-Mystery,7.095,world-fam detect benoit blanc head to greec to peel back the layer of a mysteri surround a tech billionair and hi eclect crew of friend . detective-greece-investigation-satire-sequel-murder-mystery-billionaire-whodunit-puzzl box-clue-ident twin-murd mystery-arrest development-covid-19 comedy-crime-mysteri glass onion : a knive out mysteri
698687,Transformers One,Animation-Science Fiction-Adventure-Action-Family,8.1,the untold origin stori of optimu prime and megatron better known as sworn enemi but onc were friend bond like brother who chang the fate of cybertron forev . base on toy-giant robot-questioning-aftercreditsstinger-duringcreditsstinger-buddi movie-brothers-in-arm relationship-wonder-origin story-wistful-friend turn enemy-alien robot-ambivalent-straightforward animation-sci fiction-adventure-action-famili transform one
842942,Bandit,Crime-Drama-Thriller,6.2,after escap a michigan prison a charm career crimin assum a new ident in canada and goe on to rob a record 59 bank and jewelleri store while be hunt by a rogu task forc . base on the stori of the fli bandit . detective-canada-bank robber-strip club-pregnancy-bas on true story-disguise-jewel heist-vancouver-escap prisoner-ottawa canada-prison escapee-childbirth-pembrok canada-london canada crime-drama-thril bandit
872585,Oppenheimer,Drama-History,8.111,the stori of j. robert oppenheim 's role in the develop of the atom bomb dure world war ii . husband wife relationship-bas on novel or book-atom bomb-patriotism-new mexico-world war ii-atom bomb test-physics-biography-bas on true story-interrogation-guilt-histor event-nuclear weapons-communism-r scare-mccarthyism-top secret project-mor dilemma-usa politics-1940s-antisemitism-20th century-manhattan project-lo alamo drama-histori oppenheim
150540,Inside Out,Animation-Family-Adventure-Drama-Comedy,7.914,when 11-year-old riley move to a new citi her emot team up to help her through the transit . joy fear anger disgust and sad work togeth but when joy and sad get lost they must journey through unfamiliar place to get back home . dream-san francisco california-minnesota-sadness-cartoon-disgust-ic hockey-imaginari friend-elementari school-famili relationships-memory-fear-family-anger-unicorn-run away-duringcreditsstinger-emotions-joy-brisk animation-family-adventure-drama-comedi insid out
945729,A Haunting in Venice,Mystery-Thriller-Crime,6.794,celebr sleuth hercul poirot now retir and live in self-impos exil in venic reluctantli attend a halloween séanc at a decay haunt palazzo . when one of the guest is murder the detect is thrust into a sinist world of shadow and secret . venic italy-loss of love one-detective-bas on novel or book-post world war ii-séance-murd mystery-halloween night-palazzo-retir detect mystery-thriller-crim a haunt in venic
614933,Atlas,Science Fiction-Action,6.672,a brilliant counterterror analyst with a deep distrust of ai discov it might be her onli hope when a mission to captur a renegad robot goe awri . mission-artifici intellig ( a.i . ) -exploration-attack-soldier-battle-militari scienc fiction-act atla
899112,Violent Night,Action-Comedy-Crime-Thriller,7.576,when a team of mercenari break into a wealthi famili compound on christma eve take everyon insid hostag the team isn ’ t prepar for a surpris combat : santa clau is on the ground and he ’ s about to show whi thi nick is no saint . holiday-santa claus-mercenary-sav christmas-boobi trap-duringcreditsstinger-christma action-comedy-crime-thril violent night
884605,No Hard Feelings,Comedy-Romance,6.889,on the brink of lose her childhood home maddi discov an intrigu job list : wealthi helicopt parent look for someon to “ date ” their introvert 19-year-old son perci befor he leav for colleg . to her surpris maddi soon discov the awkward perci is no sure thing . romant comedy-bankruptcy-craigslist-soci awkward-uber-arrest development-l come of age-helicopt parent comedy-rom no hard feel
616037,Thor: Love and Thunder,Fantasy-Action-Comedy,6.625,after hi retir is interrupt by gorr the god butcher a galact killer who seek the extinct of the god thor odinson enlist the help of king valkyri korg and ex-girlfriend jane foster who now wield mjolnir as the mighti thor . togeth they embark upon a harrow cosmic adventur to uncov the mysteri of the god butcher ’ s vengeanc and stop him befor it ’ s too late . ex-girlfriend-hero-greek mythology-sequel-superhero-bas on comic-shadow-nors mythology-aftercreditsstinger-duringcreditsstinger-marvel cinemat univers ( mcu ) -heroes-nors god-colorless-child abduction-thor fantasy-action-comedi thor : love and thunder
869112,Somebody I Used to Know,Romance-Comedy-Drama,6.231,on a trip to her hometown workahol alli reminisc with her first love sean and start to question everyth about the person she 's becom . thing onli get more confus when she meet sean 's fiancé cassidi who remind her of the person she use to be . marriage-romant comedy-lgbtq romance-comedy-drama somebodi i use to know
828899,Metalocalypse: Army of the Doomstar,Animation-Comedy-Music,6.8,after the heroic rescu of toki wartooth dethklok frontman nathan explos find himself traumat in a brutal profession and romant flat-spin all while he is task with fulfil the propheci and confront the ultim songwrit challeng : write the song of salvat and save the planet . can nathan explos look beyond hi brutal damag ego to save hi band stop the metalocalyps and final face the ultim evil : salacia ? base on tv seri animation-comedy-mus metalocalyps : armi of the doomstar
520758,Chicken Run: Dawn of the Nugget,Animation-Adventure-Comedy-Family,7.6,a band of fearless chicken flock togeth to save poultry-kind from an unsettl new threat : a nearbi farm that 's cook up someth suspici . chicken-sequel-stop motion-animal-reboot-claymation-plasticin animation-adventure-comedy-famili chicken run : dawn of the nugget
961323,Nimona,Animation-Adventure-Fantasy,7.932,a knight frame for a tragic crime team with a scrappi shape-shift teen to prove hi innoc . monster-knight-metamorphosis-lgbt-shap shifter-fantastique-teenager-animation-sci fantasi animation-adventure-fantasi nimona
325358,Superfast!,Comedy-Action,5.0,undercov cop luca white join vin serento 's la gang of illeg street racer . they are fast and they are furiou and they plan to doubl cross la crime kingpin juan carlo de la sol who hide hi cash in a downtown taco bell . the gang 's outrag plan is as dare as it is ridicul and will see them tow the whole restaur at crazi speed . car race-parody-spoof comedy-act superfast !
